文件名,总片段数,异常片段数,异常率(%)
010217A.txt,3527,187,5.3
010217B.txt,3588,169,4.71
010217C.txt,3546,186,5.25
010317A.txt,3529,171,4.85
010317B.txt,3550,174,4.9
051216A.txt,3556,150,4.22
070217A.txt,3536,171,4.84
080217A.txt,3550,199,5.61
080217B.txt,3547,181,5.1
081216A.txt,3546,186,5.25
090217A.txt,3540,145,4.1
090217B.txt,3550,180,5.07
101216A.txt,3563,161,4.52
101216B.txt,3577,194,5.42
101216C.txt,3550,184,5.18
121216A.txt,3540,175,4.94
121216B.txt,3550,171,4.82
140317A.txt,3538,177,5.0
150317A.txt,3540,167,4.72
150317B.txt,3539,187,5.28
160217A.txt,3534,176,4.98
160217B.txt,3556,176,4.95
160217C.txt,3550,176,4.96
160217D.txt,3540,182,5.14
160217E.txt,3550,187,5.27
210217A.txt,3549,182,5.13
210217B.txt,3540,181,5.11
210217C.txt,3540,170,4.8
230117A.txt,3550,187,5.27
230117B.txt,3544,185,5.22
250117A.txt,3550,187,5.27
250117B.txt,3537,186,5.26
250117C.txt,3550,169,4.76
300117A.txt,3545,160,4.51
301116A.txt,3582,189,5.28
301116B.txt,3547,179,5.05
